Condition,Year,Make_Model,Price,Stock
New,2025,Hyundai ELANTRA Limited,,
Used,2020,Acura RDX Technology Package,,
Used,2024,Kia Sportage SX,,Stock #: D543143A
New,2024,Hyundai KONA N Line,,Stock #: L082872
New,2025,Hyundai KONA SEL,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai ELANTRA N Line,,
New,2024,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai SANTA CRUZ SE,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai TUCSON SE,,
Used,2023,Hyundai SANTA FE Limited,,
New,2025,Hyundai TUCSON SE,,Stock #: 552288
New,2025,Hyundai SANTA CRUZ SE,,Stock #: 139344
Used,2023,Hyundai PALISADE SEL,,
New,2025,Hyundai TUCSON SE,,Stock #: 527722
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai TUCSON SE FWD,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai TUCSON SE,,
Used,2024,Hyundai SANTA CRUZ Night,,
New,2025,Hyundai ELANTRA HYBRID Limited,,Stock #: 133028
Used,2023,Hyundai TUCSON HYBRID Limited,,
New,2024,Hyundai TUCSON HYBRID SEL Convenience,,Stock #: L186132
New,2025,Hyundai ELANTRA HYBRID Limited,,Stock #: 148043
New,2025,Hyundai TUCSON SEL FWD,,
New,2025,Hyundai SANTA CRUZ SEL,,
New,2025,Hyundai TUCSON SE,,
New,2025,Hyundai TUCSON SEL FWD,,
New,2025,Hyundai TUCSON SEL FWD,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
Used,2023,Tesla Model Y Long Range,,
New,2025,Hyundai TUCSON SEL,,Stock #: L452951
New,2024,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai SONATA SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2025,Hyundai TUCSON SEL,,
New,2024,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai SANTA CRUZ SEL,,
Used,2019,Lexus GX 460,,
New,2025,Hyundai KONA Limited,,Stock #: D241609
New,2025,Hyundai KONA Limited,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
Used,2021,Lexus RX 350,,
New,2024,Hyundai TUCSON HYBRID SEL Convenience,,Stock #: L225678
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Blue,,Stock #: 338827
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai TUCSON SEL Convenience,,
New,2024,Hyundai SANTA CRUZ Night,,
Used,2020,Chevrolet Suburban Premier,,
New,2025,Hyundai TUCSON SEL Convenience,,Stock #: D556582
New,2025,Hyundai TUCSON SEL Convenience,,
New,2025,Hyundai SANTA CRUZ SEL,,
New,2024,Hyundai SANTA FE SE AWD,,
Used,2021,Jeep Wrangler Unlimited Rubicon,,
New,2025,Hyundai ELANTRA N Base,,Stock #: 028796
New,2025,Hyundai ELANTRA N Base,,
New,2025,Hyundai SANTA FE SE,,Stock #: 138448
New,2024,Hyundai SANTA FE XRT,,
New,2025,Hyundai SANTA FE SE,,
New,2025,Hyundai SANTA FE SE,,
Used,2024,Genesis G70 2.5T,,
New,2025,Hyundai SANTA FE SE,,Stock #: 095878
New,2025,Hyundai SANTA FE SE,,
New,2025,Hyundai SANTA FE SE,,
Used,2024,Hyundai SANTA FE Limited,,
New,2024,Hyundai SANTA FE XRT,,Stock #: L022467
New,2025,Hyundai ELANTRA N Base,,
New,2025,Hyundai SANTA CRUZ SEL,,
New,2025,Hyundai SANTA CRUZ SEL,,Stock #: 149937
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai SANTA CRUZ SEL,,
New,2024,Hyundai TUCSON Limited AWD,,
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai SANTA FE SEL FWD,,
New,2025,Hyundai SANTA CRUZ SEL,,
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai SANTA FE SEL FWD,,
Used,2022,Lexus RX 350 F SPORT Handling,,Stock #: 785633A
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,Stock #: D316308
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE SEL,,
Used,2023,Acura RDX Advance Package,,
New,2025,Hyundai SANTA FE HYBRID SEL,,Stock #: 051965
New,2025,Hyundai SANTA FE HYBRID SEL,,Stock #: 046729
New,2025,Hyundai SANTA FE HYBRID SEL,,
New,2025,Hyundai SANTA FE HYBRID SEL,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai SANTA FE SEL,,
New,2025,Hyundai SANTA FE HYBRID SEL,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai TUCSON Limited,,
Used,2020,Ford F-150 Platinum,,
New,2024,Hyundai SANTA FE Limited,,Stock #: L013288
Used,2024,Hyundai SANTA FE CALLIGRAPHY,,Stock #: 920940A
New,2025,Hyundai TUCSON PLUG-IN HYBRID SEL,,Stock #: 264244
New,2025,Hyundai SANTA FE HYBRID SEL,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai PALISADE SEL,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai PALISADE SEL,,
New,2025,Hyundai SANTA FE XRT,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,Stock #: 338021
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai SANTA FE XRT,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai SANTA FE XRT,,
New,2025,Hyundai TUCSON Limited,,
New,2025,Hyundai SANTA FE XRT,,
New,2025,Hyundai SANTA FE XRT,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,Stock #: 338899
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2024,Hyundai SANTA FE HYBRID Limited,,
New,2024,Hyundai PALISADE SEL AWD,,
New,2025,Hyundai SANTA CRUZ Limited,,
New,2025,Hyundai IONIQ 6 SE,,
New,2025,Hyundai SANTA CRUZ Limited,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai SANTA FE Limited,,
New,2025,Hyundai PALISADE SEL Premium FWD,,
New,2024,Hyundai SANTA FE CALLIGRAPHY,,Stock #: 056816
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai SANTA FE Limited,,
New,2024,Hyundai SANTA FE CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai PALISADE XRT,,Stock #: 920788
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai SANTA FE Limited,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai SANTA FE Limited,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai PALISADE XRT,,
New,2025,Hyundai SANTA FE Limited,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai SANTA FE HYBRID Limited,,Stock #: 050864
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai SANTA FE CALLIGRAPHY,,
New,2025,Hyundai SANTA FE CALLIGRAPHY,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai SANTA FE HYBRID Limited,,
New,2025,Hyundai TUCSON PLUG-IN HYBRID Limited,,
New,2025,Hyundai PALISADE SEL Premium,,
New,2025,Hyundai SANTA FE CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,Stock #: 047090
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
New,2025,Hyundai SANTA FE HYBRID CALLIGRAPHY,,
