Condition/Year,Make-Model,Price,Vin
New 2024,RAM ProMaster 2500 High Roof,"$69,110",VIN: 3C6LRVDGXRE122237
New 2024,RAM 3500 Tradesman,"$73,620",VIN: 3C63RRGL6RG363572
New 2025,RAM 1500 Laramie,"$76,850",VIN: 1C6SRFJP7SN705551
New 2025,Jeep Grand Cherokee Summit,"$70,630",VIN: 1C4RJHEG0S8661976
New 2024,Jeep Gladiator Rubicon Mopar Edition 1 of 250,"$72,190",VIN: 1C6JJTBG8RL121715
New 2025,RAM 1500 Rebel,"$78,915",VIN: 1C6SRFLP2SN618458
New 2025,Jeep Wrangler Rubicon 4xe,"$75,130",VIN: 1C4RJXR68SW504686
New 2025,Jeep Wrangler Rubicon 4xe,"$75,130",VIN: 1C4RJXR66SW504685
New 2025,Jeep Grand Cherokee Summit,"$70,630",VIN: 1C4RJHEG4S8667277
New 2024,Jeep Grand Cherokee Overland 4xe,"$81,520",VIN: 1C4RJYD68RC111103
New 2024,Jeep Grand Cherokee Overland 4xe,"$81,520",VIN: 1C4RJYD60RC713834
New 2024,Jeep Grand Cherokee Overland,"$70,440",VIN: 1C4RJHDG3R8501070
New 2024,RAM 3500 Tradesman,"$75,805",VIN: 3C7WRTCL5RG347973
New 2024,RAM 3500 Tradesman,"$75,805",VIN: 3C7WRTCL3RG347972
New 2024,RAM 3500 Tradesman,"$75,805",VIN: 3C7WRTCL1RG347971
New 2025,RAM 2500 Tradesman,"$70,930",VIN: 3C63R5CL6SG502961
New 2025,Jeep Grand Cherokee Summit,"$71,225",VIN: 1C4RJHEG6S8661979
New 2024,RAM 3500 Tradesman,"$76,395",VIN: 3C7WRTCL0RG334466
New 2025,Jeep Grand Cherokee Summit,"$71,425",VIN: 1C4RJHEG7S8668603
New 2025,Jeep Wagoneer S Launch Edition,"$72,995",VIN: 3C4RJNAK8ST560808
New 2024,Jeep Wagoneer Base,"$76,480",VIN: 1C4SJVAP3RS165038
New 2024,Jeep Grand Cherokee L Overland,"$71,730",VIN: 1C4RJKDG8R8947809
New 2025,RAM 1500 Laramie,"$79,750",VIN: 1C6SRFJP5SN692962
New 2025,Jeep Wagoneer S Launch Edition,"$73,590",VIN: 3C4RJNAKXST560809
New 2025,RAM 1500 Laramie,"$80,300",VIN: 1C6SRFJP7SN692963
New 2025,Jeep Grand Cherokee L Summit,"$73,225",VIN: 1C4RJKEG8S8661981
New 2025,Jeep Grand Cherokee L Summit,"$73,225",VIN: 1C4RJKEG6S8661980
New 2025,Jeep Grand Cherokee L Summit,"$73,975",VIN: 1C4RJKEG8S8676707
New 2024,Jeep Wagoneer Series II,"$83,975",VIN: 1C4SJVBP1RS118802
New 2025,Jeep Wrangler Rubicon X,"$75,755",VIN: 1C4RJXFG0SW550185
New 2025,Jeep Wrangler Rubicon X,"$74,960",VIN: 1C4RJXFN9SW531830
New 2025,Jeep Wrangler Rubicon X,"$75,005",VIN: 1C4RJXFN4SW531637
New 2025,Dodge Charger R/T Scat Pack,"$75,980",VIN: 2C3CDBDK6SR547392
New 2025,Jeep Wrangler Rubicon X,"$75,555",VIN: 1C4RJXFN2SW531829
New 2024,Jeep Grand Cherokee,"$79,585",VIN: 1C4RJYE64R8611597
New 2024,Jeep Wrangler Willys Fox Factory Black Widow,"$75,976",VIN: 1C4PJXDG3RW236714
New 2025,Jeep Grand Cherokee L Summit,"$73,580",VIN: 1C4RJKEG9S8691569
New 2025,RAM 1500 Limited,"$82,175",VIN: 1C6SRFHP8SN701305
New 2024,Dodge Durango SRT 392,"$84,435",VIN: 1C4SDJGJ3RC193838
New 2024,Jeep Wagoneer L Series II,"$86,775",VIN: 1C4SJSBP9RS134034
New 2024,Jeep Wagoneer S Launch Edition,"$73,590",VIN: 3C4RJNAK6RT172809
New 2024,RAM 2500 Laramie,"$85,245",VIN: 3C6UR5NL2RG305054
New 2024,RAM 2500 Rebel,"$85,380",VIN: 3C6UR5EL9RG329187
New 2024,Jeep Wrangler Willys Fox Factory Black Widow,"$81,731",VIN: 1C4PJXDG4RW229609
New 2024,RAM 3500 Laramie,"$88,365",VIN: 3C63R3EL2RG299787
New 2025,RAM 1500 Limited,"$86,445",VIN: 1C6SRFHP7SN621073
New 2024,RAM 2500 Laramie,"$87,665",VIN: 3C6UR5FL2RG305070
New 2024,RAM 2500 Rebel,"$87,560",VIN: 3C6UR5EL4RG296941
New 2024,Dodge Durango SRT 392,"$90,630",VIN: 1C4SDJGJ2RC102462
New 2024,RAM 2500 Laramie,"$87,910",VIN: 3C6UR5FL6RG299242
New 2024,RAM 2500 Laramie,"$87,910",VIN: 3C6UR5FL4RG305071
New 2024,RAM 2500 Rebel,"$87,930",VIN: 3C6UR5EL7RG305065
New 2024,Dodge Durango SRT 392,"$91,785",VIN: 1C4SDJGJ9RC219035
New 2024,RAM 2500 Rebel,"$88,175",VIN: 3C6UR5EL2RG305068
New 2025,RAM 1500 Tungsten,"$91,300",VIN: 1C6SRFKP4SN608872
New 2024,Jeep Gladiator Rubicon AEV 370,"$92,976",VIN: 1C6JJTBGXRL124065
New 2025,RAM 3500 Laramie,"$86,425",VIN: 3C63RRJL9SG525841
New 2025,RAM 1500 RHO,"$82,330",VIN: 1C6SRFUP8SN716988
New 2025,RAM 3500 Laramie,"$87,870",VIN: 3C63RRJL8SG520565
New 2024,RAM 4500HD SLT,"$84,520",VIN: 3C7WRLEL8RG315886
New 2024,Jeep Wagoneer Series II,"$83,280",VIN: 1C4SJVBP7RS118321
New 2024,RAM 5500 Chassis Cab TRADESMAN,"$83,320",VIN: 3C7WRNFL2RG344343
New 2025,RAM 2500 Laramie,"$91,330",VIN: 3C63R5NL6SG511589
New 2025,RAM 1500 RHO,"$88,160",VIN: 1C6SRFUP1SN583121
New 2024,Dodge Durango SRT 392,"$92,125",VIN: 1C4SDJGJ5RC153664
New 2024,Jeep Wrangler Rubicon 392,"$102,785",VIN: 1C4RJXSJ9RW313416
New 2024,Jeep Wrangler Rubicon AEV 370,"$100,396",VIN: 1C4PJXFGXRW313365
New 2024,Jeep Grand Wagoneer L Series III,"$119,885",VIN: 1C4SJSGP6RS153391
New 2024,Jeep Gladiator AMW Sport 392,"$108,488",VIN: 1C6JJTAG4RL124824
New 2024,RAM 3500 SLT,"$104,206",VIN: 3C7WRTCL1RG139041
New 2025,Jeep Wrangler Rubicon 392,"$105,985",VIN: 1C4RJXSJ1SW550214
New 2025,Jeep Wrangler Rubicon 392,"$106,580",VIN: 1C4RJXSJXSW550213
New 2025,Jeep Wrangler Rubicon 392,"$106,580",VIN: 1C4RJXSJ8SW550212
New 2025,Dodge Durango SRT Hellcat,"$114,069",VIN: 1C4SDJH93SC520863
New 2024,RAM 2500 Laramie AEV PROSPECTOR XL,"$124,588",VIN: 3C6UR5FL2RG309586
New 2023,Dodge Challenger SRT Hellcat Redeye DEMON 170,"$169,988",VIN: 2C3CDZL93PH102936
New 2024,Jeep Wrangler Rubicon X AMW4x4 Hellcat 707hp,"$187,988",VIN: 1C4RJXFG1RW180715
New 2024,Jeep Gladiator Rubicon AMW4X4 840 Demon,"$199,996",VIN: 1C6JJTBG4RL106435
Pre-Owned 2015,Ford Focus Titanium,"$10,552",VIN: 1FADP3N23FL355508
Pre-Owned 2014,Jeep Grand Cherokee Laredo,"$12,047",VIN: 1C4RJEAG5EC359931
Pre-Owned 2020,Hyundai Accent SE,"$13,571",VIN: 3KPC24A60LE109183
Pre-Owned 2011,Honda Accord EX-L,"$15,391",VIN: 1HGCP2F83BA126479
Certified Pre-Owned 2018,Ford Fusion SE,"$16,525",VIN: 3FA6P0HD2JR210314
Pre-Owned 2018,Hyundai Elantra Value Edition,"$16,993",VIN: KMHD84LF0JU543646
Pre-Owned 2019,Hyundai Kona SEL,"$17,549",VIN: KM8K22AA1KU227940
Pre-Owned 2016,Jeep Grand Cherokee 75th Anniversary Edition,"$16,991",VIN: 1C4RJEAG2GC386653
Certified Pre-Owned 2016,Jeep Compass Sport,"$17,995",VIN: 1C4NJDBB5GD805505
Pre-Owned 2020,Hyundai Elantra SE,"$18,774",VIN: KMHD74LF8LU899381
Certified Pre-Owned 2022,Kia Soul LX,"$19,126",VIN: KNDJ23AU5N7178809
Pre-Owned 2021,Hyundai Accent Limited,"$16,500",VIN: 3KPC34A69ME145324
Pre-Owned 2014,Toyota RAV4 XLE,"$16,976",VIN: 2T3WFREV3EW110285
Pre-Owned 2015,Nissan Armada Platinum,"$20,334",VIN: 5N1AA0NE0FN622367
Pre-Owned 2021,Jeep Compass Sport,"$20,975",VIN: 3C4NJCABXMT550061
Certified Pre-Owned 2017,Honda Civic Touring,"$20,453",VIN: 2HGFC1F92HH650115
Pre-Owned 2018,Audi Q3 2.0T Premium,"$19,642",VIN: WA1JCCFS5JR030172
Certified Pre-Owned 2020,Chrysler Pacifica Touring,"$20,385",VIN: 2C4RC1FG8LR209697
Certified Pre-Owned 2022,Toyota Corolla LE,"$20,900",VIN: 5YFEPMAE8NP369723
Pre-Owned 2022,Hyundai Elantra N Line,"$19,287",VIN: KMHLR4AF3NU325749
Pre-Owned 2022,Hyundai Kona SE,"$19,437",VIN: KM8K2CAB6NU919193
Pre-Owned 2017,Lexus NX 200t,"$21,557",VIN: JTJBARBZ8H2146519
Pre-Owned 2023,Jeep Renegade Latitude,"$22,841",VIN: ZACNJDB15PPP33341
Pre-Owned 2019,Dodge Challenger SXT,"$21,887",VIN: 2C3CDZAG6KH751382
Certified Pre-Owned 2022,Chevrolet Malibu LT,"$22,325",VIN: 1G1ZD5ST9NF184786
Pre-Owned 2024,Hyundai Elantra SEL,"$22,908",VIN: KMHLM4DG3RU800874
Certified Pre-Owned 2018,Toyota Camry Hybrid LE,"$23,350",VIN: 4T1B31HKXJU502855
Pre-Owned 2019,Toyota Camry SE,"$21,996",VIN: 4T1B11HK2KU824090
Pre-Owned 2016,BMW 7 Series 750i xDrive,"$23,375",VIN: WBA7F2C54GG415210
Pre-Owned 2022,Jeep Compass Latitude,"$22,658",VIN: 3C4NJDBB9NT110693
Certified Pre-Owned 2021,Jeep Cherokee Trailhawk,"$22,146",VIN: 1C4PJMBX5MD129931
Pre-Owned 2021,Jeep Cherokee Altitude,"$23,418",VIN: 1C4PJMLB2MD131395
Certified Pre-Owned 2023,Chrysler Voyager LX,"$23,875",VIN: 2C4RC1CG1PR563779
Pre-Owned 2021,Jeep Wrangler Unlimited Sport,"$24,624",VIN: 1C4HJXDG0MW522209
Pre-Owned 2020,Hyundai Santa Fe SEL,"$23,904",VIN: 5NMS33ADXLH210158
Certified Pre-Owned 2016,Jeep Wrangler Unlimited Sport,"$23,438",VIN: 1C4BJWDG6GL329116
Pre-Owned 2022,Jeep Compass Latitude,"$23,968",VIN: 3C4NJDBB6NT134207
Pre-Owned 2024,Kia Forte GT-Line,"$24,884",VIN: 3KPF54AD0RE741869
Pre-Owned 2016,Chevrolet Suburban LT,"$23,664",VIN: 1GNSKHKC1GR265662
Pre-Owned 2023,Hyundai Sonata SEL,"$31,640",VIN: KMHL14JA6PA269922
Pre-Owned 2006,Jeep Wrangler X,"$26,841",VIN: 1J4FA39S36P767817
Pre-Owned 2024,Hyundai Elantra SEL,"$25,220",VIN: KMHLM4DG9RU828792
Pre-Owned 2024,Hyundai Venue Limited,"$25,269",VIN: KMHRC8A3XRU324080
Pre-Owned 2018,Honda Accord EX-L,"$22,248",VIN: 1HGCV1F66JA068672
Pre-Owned 2024,Jeep Compass Sport,"$28,334",VIN: 3C4NJDAN3RT175119
Pre-Owned 2020,Dodge Challenger SXT,"$24,551",VIN: 2C3CDZAGXLH247189
Pre-Owned 2024,Hyundai Elantra SEL,"$27,025",VIN: KMHLS4DG7RU732679
Pre-Owned 2017,Honda CR-V EX-L,"$24,552",VIN: 5J6RW1H83HL010306
Certified Pre-Owned 2017,GMC Acadia Denali,"$25,391",VIN: 1GKKNXLS6HZ310830
Pre-Owned 2019,Tesla Model 3 Performance,"$26,374",VIN: 5YJ3E1EB5KF454425
Pre-Owned 2022,Hyundai Tucson SEL,"$31,320",VIN: 5NMJF3AE3NH065494
Pre-Owned 2019,Lexus ES 350,"$28,077",VIN: 58ABZ1B18KU010429
Certified Pre-Owned 2021,GMC Terrain SLE,"$25,975",VIN: 3GKALMEV7ML401212
Certified Pre-Owned 2024,Jeep Compass Sport,"$26,741",VIN: 3C4NJDAN5RT112118
Pre-Owned 2024,Hyundai Tucson SE,"$23,616",VIN: 5NMJA3DE9RH299364
Certified Pre-Owned 2023,Dodge Challenger SXT,"$26,975",VIN: 2C3CDZAG8PH578150
Pre-Owned 2025,Hyundai Elantra SE,"$23,735",VIN: KMHLL4DG7SU865123
Pre-Owned 2020,Volvo XC60 T5 Momentum,"$25,941",VIN: YV4102RKXL1417481
Pre-Owned 2022,Hyundai Tucson Limited,"$27,175",VIN: 5NMJE3AE8NH008193
Pre-Owned 2024,Hyundai Kona SEL,"$31,479",VIN: KM8HCCAB5RU099654
Pre-Owned 2022,Hyundai Tucson N Line,"$24,426",VIN: KM8JF3AE4NU165379
Pre-Owned 2019,Honda Accord Hybrid Touring,"$26,951",VIN: 1HGCV3F94KA014827
Certified Pre-Owned 2018,Ram 1500 Big Horn,"$25,994",VIN: 1C6RR7GT8JS312408
Pre-Owned 2023,Nissan Rogue SV,"$30,557",VIN: JN8BT3BB3PW358558
Certified Pre-Owned 2020,Subaru Outback Onyx Edition XT,"$27,338",VIN: 4S4BTGKD2L3171565
Pre-Owned 2021,Tesla Model 3 Standard Range Plus,"$28,475",VIN: 5YJ3E1EA8MF096134
Pre-Owned 2023,Hyundai Tucson N Line,"$25,641",VIN: KM8JF3AE9PU184304
Pre-Owned 2019,Genesis G70 3.3T Advanced,"$27,321",VIN: KMTG34LE6KU023249
Pre-Owned 2023,Honda Accord EX,"$27,889",VIN: 1HGCY1F32PA049008
Pre-Owned 2017,Lexus ES 350,"$26,704",VIN: 58ABK1GG3HU058351
Certified Pre-Owned 2020,Honda CR-V EX,"$27,622",VIN: 5J6RW1H50LL014845
Pre-Owned 2024,Hyundai Sonata SEL,"$31,170",VIN: KMHL64JA3RA377127
Pre-Owned 2024,Jeep Compass Latitude,"$28,447",VIN: 3C4NJDBN4RT135128
Pre-Owned 2023,Hyundai Santa Cruz SEL Premium,"$28,447",VIN: 5NTJDDAF3PH060047
Pre-Owned 2022,Chrysler Pacifica Hybrid Limited,"$30,650",VIN: 2C4RC1S76NR143787
Pre-Owned 2019,Jeep Wrangler Unlimited Sport S,"$26,187",VIN: 1C4HJXDG9KW530144
Pre-Owned 2024,Toyota Camry SE,"$28,359",VIN: 4T1G11AK6RU916054
Pre-Owned 2024,Hyundai Kona SEL,"$30,059",VIN: KM8HC3AB7RU184656
Pre-Owned 2023,GMC Acadia SLT,"$29,204",VIN: 1GKKNML4XPZ185524
Pre-Owned 2025,Hyundai Tucson SEL,"$32,710",VIN: 5NMJB3DE0SH496295
Pre-Owned 2024,Hyundai Elantra SEL,"$27,075",VIN: KMHLS4DG8RU733646
Pre-Owned 2023,Jeep Cherokee Altitude,"$31,420",VIN: 1C4PJMMBXPD104822
Pre-Owned 2022,Jeep Grand Cherokee Limited,"$32,574",VIN: 1C4RJGBGXN8556848
Pre-Owned 2020,Hyundai Palisade Limited,"$27,643",VIN: KM8R54HE3LU039013
Pre-Owned 2023,Jeep Grand Cherokee L Laredo,"$30,337",VIN: 1C4RJKAG6P8865594
Pre-Owned 2022,Toyota RAV4 XLE Premium,"$30,337",VIN: 2T3C1RFV0NC205999
Pre-Owned 2023,Kia Sportage X-Line,"$28,127",VIN: 5XYK6CAF9PG086182
Pre-Owned 2024,Hyundai Sonata SEL,"$28,650",VIN: KMHL64JAXRA370921
Pre-Owned 2022,Audi A5 Sportback Premium,"$30,882",VIN: WAUABCF53NA010376
Pre-Owned 2024,Hyundai Tucson XRT,"$37,120",VIN: KM8JFCDE2RU266826
Pre-Owned 2024,Hyundai Tucson XRT,"$37,120",VIN: KM8JFCDE1RU267112
Pre-Owned 2019,Lexus ES 350,"$31,224",VIN: 58ABZ1B10KU036958
Pre-Owned 2024,Hyundai Sonata SEL,"$29,235",VIN: KMHL64JAXRA415727
Pre-Owned 2023,Tesla Model Y Long Range,"$29,716",VIN: 7SAYGDEE2PF685286
Pre-Owned 2021,INFINITI QX80 LUXE,"$32,004",VIN: JN8AZ2AF6M9715640
Certified Pre-Owned 2023,Jeep Grand Cherokee L Altitude,"$32,975",VIN: 1C4RJJAG2P8848852
Pre-Owned 2023,Hyundai Santa Cruz Limited,"$32,618",VIN: 5NTJEDAF1PH069505
Pre-Owned 2024,Hyundai Kona Limited,"$33,820",VIN: KM8HE3A33RU152516
Pre-Owned 2024,Jeep Wrangler Sport S,"$34,850",VIN: 1C4PJXAN1RW136338
Pre-Owned 2024,Hyundai Santa Cruz NIGHT,"$40,724",VIN: 5NTJCDDF4RH105594
Pre-Owned 2022,Hyundai Palisade Calligraphy,"$32,687",VIN: KM8R74HE3NU389383
Pre-Owned 2020,GMC Yukon XL Denali,"$42,875",VIN: 1GKS2HKJ1LR112186
Pre-Owned 2024,Ford Maverick Lariat,"$33,370",VIN: 3FTTW8M33RRA10873
Pre-Owned 2024,Hyundai Palisade SEL,"$46,210",VIN: KM8R44GE0RU658259
Certified Pre-Owned 2023,Dodge Hornet GT Plus,"$36,000",VIN: ZACNDFBN8P3A04427
Pre-Owned 2021,Genesis GV80 3.5T Advanced +,"$33,649",VIN: KMUHCESC5MU042061
Pre-Owned 2023,Dodge Hornet GT Plus,"$36,700",VIN: ZACNDFBN8P3A05223
Pre-Owned 2023,Jeep Gladiator Sport,"$39,562",VIN: 1C6JJTAG0PL575116
Pre-Owned 2022,Genesis G70 3.3T,"$36,937",VIN: KMTG54TEXNU103538
Pre-Owned 2024,Subaru Outback Touring XT,"$35,811",VIN: 4S4BTGPDXR3223851
Pre-Owned 2024,Genesis G70 2.5T,"$47,375",VIN: KMTG34SC1RU139128
Pre-Owned 2022,Ford F-150 XLT,"$39,884",VIN: 1FTEW1EP3NKD55112
Pre-Owned 2024,Genesis G70 2.5T,"$47,470",VIN: KMTG34SC3RU137901
Pre-Owned 2024,Genesis G70 2.5T,"$47,900",VIN: KMTG34SC0RU137824
Pre-Owned 2024,Genesis G70 2.5T,"$47,815",VIN: KMTG34SC6RU139111
Pre-Owned 2023,Jeep Grand Cherokee L Limited,"$39,941",VIN: 1C4RJJBG8P8879781
Pre-Owned 2021,Genesis GV80 3.5T,"$39,881",VIN: KMUHCESC2MU061733
Pre-Owned 2024,Genesis G70 2.5T,"$47,250",VIN: KMTG34SC9RU139362
Pre-Owned 2024,Genesis G70 2.5T,"$49,945",VIN: KMTG34SC2RU137761
Pre-Owned 2022,Ford Mustang GT Premium,"$39,349",VIN: 1FATP8FF8N5127873
Pre-Owned 2003,Jeep Wrangler Sport,"$44,571",VIN: 1J4FA49S83P306422
Certified Pre-Owned 2020,Lexus GX 460,"$41,557",VIN: JTJAM7BX2L5255944
Pre-Owned 2023,Jeep Gladiator Sport,"$42,674",VIN: 1C6JJTAG6PL582541
Certified Pre-Owned 2022,Jeep Wrangler Unlimited Rubicon,"$42,140",VIN: 1C4HJXFG6NW106566
Pre-Owned 2021,Hyundai Santa Fe Limited,"$40,470",VIN: 5NMS44AL4MH334552
Pre-Owned 2022,Genesis G80 3.5T,"$71,890",VIN: KMTGB4SD5NU126615
Pre-Owned 2025,BMW X1 xDrive28i,"$47,357",VIN: WBX73EF0XS5238411
Pre-Owned 2022,Volvo XC60 Recharge Plug-In Hybrid T8 Inscription,"$466,357",VIN: YV4BR0DL9N1986551
Pre-Owned 2006,Jeep Wrangler Unlimited,"$45,000",VIN: 1J4FA44S66P710153
Pre-Owned 2024,Alfa Romeo Stelvio Veloce,"$46,992",VIN: ZASPAKBN8R7D74657
Pre-Owned 2024,Genesis G70 3.3T Sport Advanced,"$58,510",VIN: KMTG54SE2RU137786
Pre-Owned 2023,Chevrolet Silverado 1500 RST,"$48,776",VIN: 1GCUDEED4PZ222934
Pre-Owned 2023,Genesis GV80 3.5T Advanced +,"$72,355",VIN: KMUHCESCXPU132911
Pre-Owned 2024,Genesis GV70 2.5T,"$50,227",VIN: 5NMMADTBXRH015475
Pre-Owned 2023,Genesis G80 3.5T,"$73,655",VIN: KMTGB4SD6PU188348
Certified Pre-Owned 2025,Ram 1500 Big Horn,"$53,288",VIN: 1C6SRFFPXSN522363
Pre-Owned 2024,Jeep Wagoneer,"$57,329",VIN: 1C4SJVAP7RS104484
Pre-Owned 2024,Genesis G80 3.5T,"$69,405",VIN: KMTGB4SD0RU199901
Pre-Owned 2025,Genesis GV80 2.5T,"$63,600",VIN: KMUHGESB8SU234857
Pre-Owned 2024,Genesis GV80 3.5T,"$74,095",VIN: KMUHCESCXRU179259
Pre-Owned 2025,Genesis GV80 2.5T Prestige,"$72,610",VIN: KMUHCESB5SU218319
Pre-Owned 2022,Jeep Gladiator SEMA Sport,"$68,774",VIN: 1C6HJTAGXNL103193
Pre-Owned 2024,Genesis GV80 3.5T,"$74,010",VIN: KMUHCESC4RU175739
Pre-Owned 2024,Genesis GV80 3.5T,"$73,720",VIN: KMUHCESC0RU168691
Pre-Owned 2024,Genesis GV80 3.5T,"$74,470",VIN: KMUHCESC5RU184434
Pre-Owned 2025,Genesis GV80 3.5T Prestige,"$73,380",VIN: KMUHEESC3SU213848
Pre-Owned 2023,Jeep Gladiator Rubicon HEMI 392,"$126,271",VIN: 1C6JJTBG1PL524707
Pre-Owned 2018,Dodge Challenger SRT Demon,"$133,246",VIN: 2C3CDZH97JH100283
Pre-Owned 2023,Jeep Gladiator Alpine Brigade,"$165,742",VIN: 1C6HJTAG8PL557347
Pre-Owned 2022,Hyundai Santa Fe SEL,,VIN: 5NMS2DAJ5NH434939
Pre-Owned 2020,Dodge Charger R/T Scat Pack,,VIN: 2C3CDXGJ8LH232147
Pre-Owned 2020,GMC Acadia Denali,,VIN: 1GKKNXLS5LZ123670
Pre-Owned 2023,Ford Transit-250 Base,,VIN: 1FTBR3X8XPKB02285
Pre-Owned 2024,Ford Mustang EcoBoost,,VIN: 1FAGP8UH2R5101684
Pre-Owned 2015,Jeep Cherokee Latitude,,VIN: 1C4PJMCB5FW788120
Pre-Owned 2020,Jeep Wrangler Unlimited Rubicon,,VIN: 1C4HJXFGXLW319338
New 2025,RAM 1500 Big Horn,"$63,735",VIN: 1C6SRFFP9SN735529
New 2025,RAM 1500 Big Horn,"$64,375",VIN: 1C6SRFFP5SN681453
New 2025,RAM 1500 Big Horn,"$64,670",VIN: 1C6SRFFP9SN681455
New 2025,RAM 1500 LARAMIE,"$75,955",VIN: 1C6SRFJP7SN726870
New 2025,RAM 1500 LARAMIE,"$76,100",VIN: 1C6SRFJP7SN705520
New 2025,RAM 1500 LARAMIE,"$76,150",VIN: 1C6SRFJP6SN692386
New 2025,Jeep Wrangler Sport,"$34,855",VIN: 1C4PJXAG3SW544993
New 2025,Jeep Grand Cherokee Limited,"$46,900",VIN: 1C4RJHBG2S8701883
New 2025,Jeep Grand Cherokee Limited,"$47,495",VIN: 1C4RJHBG6S8701885
New 2025,Jeep Grand Cherokee Limited,"$47,495",VIN: 1C4RJHBG4S8701884
New 2025,Jeep Grand Cherokee Limited,"$47,495",VIN: 1C4RJHBG0S8701882
New 2025,Jeep Grand Cherokee Limited,"$49,415",VIN: 1C4RJHBGXS8701887
New 2025,Jeep Grand Cherokee Limited,"$49,415",VIN: 1C4RJHBG1S8701888
New 2025,Jeep Grand Cherokee Limited,"$50,010",VIN: 1C4RJHBGXS8701890
New 2025,Jeep Grand Cherokee Limited,"$50,010",VIN: 1C4RJHBG8S8701886
New 2025,Jeep Grand Cherokee Limited,"$50,010",VIN: 1C4RJHBG3S8701889
New 2025,Jeep Grand Cherokee Limited,"$50,010",VIN: 1C4RJHBG1S8701891
New 2025,RAM 1500 Big Horn,"$64,030",VIN: 1C6SRFFP1SN731622
New 2025,RAM 1500 Big Horn,"$64,670",VIN: 1C6SRFFP7SN681454
New 2025,RAM 2500 Tradesman,"$58,590",VIN: 3C6UR5CJ4SG519003
New 2025,RAM 2500 Tradesman,"$58,835",VIN: 3C6UR5CJ6SG519004
New 2025,RAM 2500 Tradesman,"$58,885",VIN: 3C6UR5CJ8SG519005
New 2025,RAM 2500 Tradesman,"$65,375",VIN: 3C6TR5CJ0SG520743
New 2025,RAM 2500 Tradesman,"$65,620",VIN: 3C6TR5CJ9SG520742
New 2025,RAM 2500 Tradesman,"$65,670",VIN: 3C6TR5CJ2SG520744
New 2025,RAM 1500 Laramie,"$77,145",VIN: 1C6SRFJP5SN705550
New 2025,RAM 2500 Tradesman,"$70,735",VIN: 3C63R5CL8SG502959
New 2025,RAM 2500 Tradesman,"$70,880",VIN: 3C63R5CL4SG502960
New 2025,Jeep Grand Cherokee L Summit,"$74,175",VIN: 1C4RJKEGXS8676708
New 2025,RAM 2500 Laramie,"$88,650",VIN: 3C63R5FL7SG506819
New 2025,RAM 2500 Laramie,"$88,695",VIN: 3C63R5FL5SG506818
New 2025,RAM 2500 Laramie,"$88,780",VIN: 3C63R5FL6SG511591
New 2025,RAM 2500 Laramie,"$88,790",VIN: 3C63R5FL3SG506820
New 2025,RAM 2500 Laramie,"$89,075",VIN: 3C63R5FL4SG511590
New 2025,RAM 2500 Laramie,"$91,380",VIN: 3C63R5NL3SG508701
