Condition/Year,Make-Model,Price,Vin
New 2025,Dodge Hornet R/T,"$44,835",VIN: ZACPDFCW3S3A45346
New 2025,RAM 1500 Big Horn,"$59,300",VIN: 1C6SRFBP4SN503300
New 2025,RAM 1500 Big Horn,"$59,495",VIN: 1C6SRFBP3SN536448
New 2025,Dodge Durango GT,"$46,636",VIN: 1C4RDJDG9SC502287
New 2024,Chrysler Pacifica Touring L,"$48,590",VIN: 2C4RC1BG0RR184809
New 2024,Chrysler Pacifica Touring L,"$48,590",VIN: 2C4RC1BG0RR173776
New 2025,Jeep Grand Cherokee Limited,"$53,135",VIN: 1C4RJHBG3SC276851
New 2025,Jeep Grand Cherokee L Limited,"$52,240",VIN: 1C4RJJBG0S8640234
New 2024,Jeep Gladiator Willys,"$58,275",VIN: 1C6HJTAG8RL107409
New 2024,Jeep Gladiator Willys,"$58,275",VIN: 1C6HJTAG7RL101603
New 2024,Jeep Gladiator Willys,"$58,275",VIN: 1C6HJTAG4RL107407
New 2025,Jeep Grand Cherokee L Altitude X,"$51,325",VIN: 1C4RJKAG7S8673903
New 2025,Jeep Grand Cherokee Limited,"$53,860",VIN: 1C4RJGBG1SC272839
New 2025,Jeep Grand Cherokee Limited,"$53,730",VIN: 1C4RJHBG1SC276850
New 2024,Jeep Gladiator Sport,"$56,950",VIN: 1C6JJTAG6RL124825
New 2025,Jeep Grand Cherokee L Altitude X,"$51,920",VIN: 1C4RJKAG9S8673904
New 2025,Jeep Grand Cherokee L Altitude X,"$51,920",VIN: 1C4RJKAG5S8673902
New 2025,Jeep Grand Cherokee L Altitude X,"$51,920",VIN: 1C4RJKAG0S8673905
New 2025,Jeep Grand Cherokee Limited,"$54,455",VIN: 1C4RJGBGXSC272838
New 2025,Jeep Grand Cherokee Limited,"$54,455",VIN: 1C4RJGBG8SC272837
New 2025,Jeep Grand Cherokee L Limited,"$54,240",VIN: 1C4RJKBG4S8640100
New 2025,Jeep Gladiator Mojave,"$55,885",VIN: 1C6RJTEG0SL514130
New 2025,Jeep Grand Cherokee Altitude,"$47,025",VIN: 1C4RJHAG3SC264975
New 2024,Jeep Gladiator Willys,"$59,670",VIN: 1C6HJTAG9RL124820
New 2024,Jeep Gladiator Willys,"$59,670",VIN: 1C6HJTAG6RL124337
New 2024,Jeep Gladiator Willys,"$59,670",VIN: 1C6HJTAG0RL124818
New 2025,RAM ProMaster 2500 High Roof,"$53,995",VIN: 3C6LRVDG3SE501053
New 2025,Jeep Grand Cherokee Limited,"$47,295",VIN: 1C4RJHBG7SC290039
New 2025,Jeep Grand Cherokee Limited,"$53,760",VIN: 1C4RJGBG8SC305240
New 2025,Jeep Grand Cherokee L Limited,"$54,835",VIN: 1C4RJKBG6S8640101
New 2025,Jeep Grand Cherokee Limited,"$53,860",VIN: 1C4RJGBGXSC305238
New 2025,RAM 1500 Big Horn,"$63,785",VIN: 1C6SRFMP6SN536411
New 2025,Jeep Grand Cherokee Limited,"$55,305",VIN: 1C4RJHBG2S8661207
New 2025,RAM 1500 Big Horn,"$64,030",VIN: 1C6SRFFP5SN656942
New 2025,Jeep Grand Cherokee L Limited,"$55,235",VIN: 1C4RJKBG0S8634360
New 2025,Jeep Wrangler Sport S,"$53,190",VIN: 1C4PJXDN8SW503267
New 2025,Jeep Wrangler Sport S,"$53,190",VIN: 1C4PJXDN4SW503265
New 2025,Jeep Wrangler Sport S,"$53,190",VIN: 1C4PJXDN2SW503264
New 2025,Jeep Gladiator Mojave,"$56,985",VIN: 1C6RJTEG9SL513820
New 2025,Jeep Grand Cherokee Limited,"$54,355",VIN: 1C4RJGBGXSC305241
New 2025,Jeep Grand Cherokee Limited,"$54,455",VIN: 1C4RJGBG1SC305239
New 2025,Jeep Grand Cherokee Limited,"$54,355",VIN: 1C4RJGBG3SC305890
New 2025,RAM ProMaster 2500 High Roof,"$55,145",VIN: 3C6LRVDG7SE500553
New 2025,RAM ProMaster 2500 High Roof,"$55,145",VIN: 3C6LRVDG5SE500552
New 2025,Jeep Grand Cherokee L Limited,"$55,830",VIN: 1C4RJKBGXS8634365
New 2025,Jeep Grand Cherokee L Limited,"$55,830",VIN: 1C4RJKBG2S8634361
New 2025,Jeep Grand Cherokee Limited,"$54,710",VIN: 1C4RJHBG9S8661205
New 2025,Jeep Grand Cherokee Limited,"$54,710",VIN: 1C4RJHBG0S8661206
New 2025,Jeep Grand Cherokee Limited,"$56,455",VIN: 1C4RJHBG5SC271425
New 2025,Jeep Grand Cherokee Limited,"$56,455",VIN: 1C4RJHBG3SC271424
New 2024,RAM 3500 Tradesman,"$57,005",VIN: 3C63R3CJ6RG318259
New 2024,RAM 3500 Tradesman,"$57,005",VIN: 3C63R3CJ4RG318258
New 2025,RAM 1500 Big Horn,"$65,125",VIN: 1C6SRFFP4SN583434
New 2025,Jeep Wrangler Sport S,"$52,840",VIN: 1C4PJXDGXSW544324
